,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url
29,Челябинск,Некстайп,,15 октября 2020," Горите сферой интернет-маркетинга? Желаете стать профессионалом в своем деле и высококлассным экспертом? В таком случае, вам точно к нам! Мы крутая веб-студия, которая развивается и масштабируется постоянно. Мы всегда рады новым талантам, а самое главное готовы обучать! Наши клиенты находятся по всей территории РФ и СНГ. Мы работаем с такими компаниями как: Nutricia, Heinz Baby, Coral Travel, Metro CC и с рядом других, крупных, известных брендов. Что ты получишь от нас: Рост -мы за развитие наших сотрудников, поэтому готовы предоставить тебе все для этого необходимое: обучающие курсы, наставника, специализированное место. Окружим тебя заботливыми коллегами, которые всегда готовы протянуть руку помощи. Возможность развития- наша цель, предоставить тебе возможность дальнейшего роста в компании. У тебя будет возможность быстро вырасти из позиции помощника, до полноценного Seo-оптимизатора или директолога, что тебя привлекает больше?) Проекты- у нас безумно интересные задачи! Мы разработчики собственных готовых решений, которые так же нуждаются в продвижении. И конечно же, много интересных, сложных и крупных проектов наших клиентов! Что мы ждем от тебя: Стремление к развитию, горящие глаза на сферу интернет-маркетинга. Упёртость в своих намерениях, отсутствие страха трудностей, и настойчивость покорить новые вершины. Любовь к анализу данных, потому что SEO это много цифр и аналитики. Бонусом будет, если у вас уже есть базовые знания по Seo-оптимизации сайтов и интернет-маркетингу. Откликайтесь на вакансию, мы всегда рады пообщаться с талантливыми и интересными людьми! ",,не требуется,Помощник интернет-маркетолога,,25000.0,15000.0,полный день,"Английский — A1 — Начальный,SEO оптимизация,Контекстная реклама,SMM,Яндекс.Метрика,Google Analytics,Internet Marketing,Управление проектами,Интернет-реклама,Google AdWords,Яндекс.Директ,SEO,1С-Битрикс,SEO-копирайтинг,Social Media Marketing,Управление интернет-проектами,Маркетинговый анализ",Полная занятость,https://tyumen.hh.ru/vacancy/38617492
130,Озерск (Челябинская область),Озерская Фурнитурная Компания,,22 сентября 2020," Обязанности: - разработка и реализация стратегии ведения социальных сетей: Instagram, Vk, Fb; (анализ конкурентов, ЦА, задачи аккаунта, механики вовлечения) - полное оформление и ведение страниц в социальных сетях: Instagram, Vk, Fb; - подготовка визуального контента: подготовка ТЗ для фотографа; обработка и ретушь готовых изображений; - Написание интересных и продающих текстов; - Работа с блогерами, сообществами на различных площадках - Настройка рекламы во всех соц сетях; - Модерация аккаунтов, ответы на вопросы, комментарии, отработка негатива; Требования: - Успешный опыт в SMM от 1 года в сфере мебели и фурнитуры; - Наличие реализованных кейсов, о которых сможете рассказать на собеседовании; - Пунктуальность, ответственность, аккуратность, внимательность; - Грамотная устная и письменная речь; - Умение работать с графическими редакторами Условия: - опыт работы от года в сфере мебельная фурнитура. - быть на связи с понедельника по пятницу С 10.00 до 19.00 ",,1–3 года,Smm-специалист,,25000.0,20000.0,полный день,"Adobe Photoshop,Написание текстов,Social Media Marketing,Социальные сети,Корректура текстов,Ведение групп в социальных сетях,Cоциальная реклама",Частичная занятость,https://tyumen.hh.ru/vacancy/39384631
57,Магнитогорск,Благотворительный Фонд Металлург,,13 октября 2020," Обязанности: Разработка и сопровождение конфигурации на платформе 1С Предприятие 7.7, 8.3 Сопровождение пользователей. Требования: Высшее профессиональное образование, опыт работы не менее года. Условия: Пятидневная рабочая неделя вых суб. Полный соц. пакет ",,1–3 года,Программист,,25000.0,24000.0,полный день,"1С: Предприятие 8,1С: Предприятие,1С программирование",Полная занятость,https://tyumen.hh.ru/vacancy/39778317
69,Челябинск,ИнтерСервис ЛТД,"Работа в офисе. Рабочее место по адресу ул. Артиллерийская, 124 (рядом с ТРК ""Горки"");,График работы 5/2 с 9-00 до 18-00, сб, вс - выходные;,Официальное трудоустройство (больничные, отпуска);,Зарплата: оклад - 25 000 руб.,Скидки на товары компании.",14 октября 2020," В новый книжный интернет-магазин fkniga.ru требуется менеджер! Обязанности: Работа с наполнением интернет-магазина: создание тематических подборок, формирование рубрик (лидеры, новинки и т.п.), размещение информации о новых поступлениях, акциях, скидках; Работа с ассортиментом: контроль порядка в карточках товаров на сайте, контроль соответствия наличия товара в магазине и на складе, правильности цен и их своевременного обновления, предложения по введению новинок на основе аналитики); Анализ спроса, работа по формированию на его основе ассортимента интернет-магазина. Участие в разработке и проведении рекламных кампаний и продвижении сайта; Работа с поставщиками (по вопросам предоставления информации о товаре, дозаказ товара); Отчётность для руководителя. Требования: Рассмотрим кандидатов из сфер торгового маркетинга и торгового закупа (категорийный менеджмент, формирование ассортимента), интернет-маркетинга; Опыт в аналогичной должности будет преимуществом; Знания основ интернет-маркетинга, принципов работы интернет-магазина; Уверенный пользователь ПК, стандартных офисных программ, соц. сетей, сети Интернет, 1С; Законченное образование (желательно высшее). Условия: Работа в офисе. Рабочее место по адресу ул. Артиллерийская, 124 (рядом с ТРК ""Горки""); График работы 5/2 с 9-00 до 18-00, сб, вс - выходные; Официальное трудоустройство (больничные, отпуска); Зарплата: оклад - 25 000 руб. Скидки на товары компании. ООО ""ИнтерСервис ЛТД"" это сеть книжных магазинов: ""Книгалэнд"", ""Книжный город"", а также оптовые продажи: канцелярия, учебная, художественная литература. На рынке более 20 лет. ООО ""ИнтерСервис ЛТД"" является лидером книжной торговли Уральского региона. По итогам рейтинга журнала ""Книжный бизнес"" компания отмечена в числе крупнейших книготорговых предприятий России. Наша работа отмечена многочисленными дипломами, в том числе и Благодарностью Государственной Думы России. ","Работа с наполнением интернет-магазина: создание тематических подборок, формирование рубрик (лидеры, новинки и т.п.), размещение информации о новых поступлениях, акциях, скидках;,Работа с ассортиментом: контроль порядка в карточках товаров на сайте, контроль соответствия наличия товара в магазине и на складе, правильности цен и их своевременного обновления, предложения по введению новинок на основе аналитики);,Анализ спроса, работа по формированию на его основе ассортимента интернет-магазина.,Участие в разработке и проведении рекламных кампаний и продвижении сайта;,Работа с поставщиками (по вопросам предоставления информации о товаре, дозаказ товара);,Отчётность для руководителя.",не требуется,Менеджер интернет-магазина,"Рассмотрим кандидатов из сфер торгового маркетинга и торгового закупа (категорийный менеджмент, формирование ассортимента), интернет-маркетинга;,Опыт в аналогичной должности будет преимуществом;,Знания основ интернет-маркетинга, принципов работы интернет-магазина;,Уверенный пользователь ПК, стандартных офисных программ, соц. сетей, сети Интернет, 1С;,Законченное образование (желательно высшее).",25000.0,25000.0,полный день,"1С: Торговля,1С: Торговля и склад,1С: Предприятие 8,Интернет-реклама,Закупки",Полная занятость,https://tyumen.hh.ru/vacancy/39816657
202,Еманжелинск,Увелка ООО «Ресурс»,,1 октября 2020," Обязанности: Обеспечивать правильную техническую эксплуатацию, бесперебойную работу компьютеров и отдельных устройств. Требования: Средне-профессиональное образование; Знание научно-технической и другой специальной литературы по техническому обеспечению бесперебойной работы вычислительной техники. Условия: Официальное трудоустройство; Расширенный социальный пакет; Стабильные выплаты заработной платы; Доставка служебным транспортом из г. Южноуральска и п. Увельский; Посещение бассейна и тренажерного зала за счет предприятия. ",,не требуется,Техник в отдел информационных технологий,,25000.0,25000.0,полный день,"Пользователь ПК,Windows 7,Грамотность",Полная занятость,https://tyumen.hh.ru/vacancy/38960716
239,поселок Увельский,Увелка ООО «Ресурс»,,30 сентября 2020," Обязанности: Обеспечивать правильную техническую эксплуатацию, бесперебойную работу компьютеров и отдельных устройств. Требования: Средне-профессиональное образование; Знание научно-технической и другой специальной литературы по техническому обеспечению бесперебойной работы вычислительной техники. Условия: Официальное трудоустройство; Расширенный социальный пакет; Стабильные выплаты заработной платы; Доставка служебным транспортом из г. Южноуральска и п. Увельский; Посещение бассейна и тренажерного зала за счет предприятия. ",,не требуется,Техник в отдел информационных технологий,,25000.0,25000.0,полный день,"Пользователь ПК,Windows 7,Грамотность",Полная занятость,https://tyumen.hh.ru/vacancy/38729875
558,Троицк (Челябинская область),Увелка ООО «Ресурс»,,1 октября 2020," Обязанности: Обеспечивать правильную техническую эксплуатацию, бесперебойную работу компьютеров и отдельных устройств. Требования: Средне-профессиональное образование; Знание научно-технической и другой специальной литературы по техническому обеспечению бесперебойной работы вычислительной техники. Условия: Официальное трудоустройство; Расширенный социальный пакет; Стабильные выплаты заработной платы; Доставка служебным транспортом из г. Южноуральска и п. Увельский; Посещение бассейна и тренажерного зала за счет предприятия. ",,не требуется,Техник в отдел информационных технологий,,25000.0,25000.0,полный день,"Пользователь ПК,Windows 7,Грамотность",Полная занятость,https://tyumen.hh.ru/vacancy/38960686
563,Пласт,Увелка ООО «Ресурс»,,1 октября 2020," Обязанности: Обеспечивать правильную техническую эксплуатацию, бесперебойную работу компьютеров и отдельных устройств. Требования: Средне-профессиональное образование; Знание научно-технической и другой специальной литературы по техническому обеспечению бесперебойной работы вычислительной техники. Условия: Официальное трудоустройство; Расширенный социальный пакет; Стабильные выплаты заработной платы; Доставка служебным транспортом из г. Южноуральска и п. Увельский; Посещение бассейна и тренажерного зала за счет предприятия. ",,не требуется,Техник в отдел информационных технологий,,25000.0,25000.0,полный день,"Пользователь ПК,Windows 7,Грамотность",Полная занятость,https://tyumen.hh.ru/vacancy/38960687
744,Магнитогорск,МСБ,"Полный рабочий день,Официальное трудоустройство",4 октября 2020, Обязанности: Монтаж и настройка локальной сети Настройка сетевого оборудования Обеспечение бесперебойной работы компьютерной техники ремонт и обслуживание печатной и множительной техники Ремонт и сборка ПК Настройка серверов и файлохранилищ Работа по установке и обслуживанию лицензионного ПО Требования: Желателен опыт работы в данной области Условия: Полный рабочий день Официальное трудоустройство ,,не требуется,Системный администратор,"Желателен,опыт работы в данной области",25000.0,25000.0,полный день,"Сборка ПК,Администрирование серверов Windows,Настройка сетевых подключений,Настройка ПК,Администрирование сетевого оборудования,Настройка серверов,Техническое обслуживание,Прокладка кабелей,Локальные сети,Ремонт ПК,Пользователь ПК",Полная занятость,https://tyumen.hh.ru/vacancy/39503262
752,Челябинск,Мегаполис,,14 октября 2020," Обязанности: Составление графика сеанса. Запись фильмов на сервер. Проверка ключей. Запуск кинооборудования. Обеспечение бесперебойного показа фильмов. Требования: Хорошее знание компьютера: технические составляющие и ОП системы. Внимательность. Навыки составления документации в электроном варианте. Условия: 12 часов работа (смены дневные и ночные), сутки выходной. Стабильные выплаты заработной платы 2 раза в месяц. Работа в крупной, стабильной компании. ",,1–3 года,Оператор кинооборудования,,25000.0,25000.0,сменный график,,Полная занятость,https://tyumen.hh.ru/vacancy/39300244
